name,베타카로틴,비타민D,비타민E,비타민K,비타민B1,비타민B2,나이아신,비타민B6,엽산,비타민B12,비오틴,비타민C,칼슘,마그네슘,철,아연,구리,셀레늄(셀렌),요오드,망간,몰리브덴,칼륨,식이섬유,단백질,프로바이오틱스,진세노사이드,루테인,EPA와 DHA의 합,비타민A
네이처드림 뼈에좋은 비타민D,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
네이처드림 알티지오메가3 루테인 플러스,0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,20.0,600.0,700.0
네이처드림 알티지오메가3 징코빌로바,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,600.0,0.0
네이처드림 장에 좋은 생유산균19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,100000000,0.0,0.0,0.0,0.0
네이처드림 혈행에 좋은 알티지 오메가3,0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,600.0,0.0
네이처드림 혈행에 좋은 초임계 알티지오메가3,0,10.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,600.0,0.0
네이처드림 활력에 좋은 비타민B 컴플렉스,0,5.0,11.0,70.0,3.0,3.5,15.0,3.7,400.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,700.0
네이처바이오 밀크씨슬,0,0.0,0.0,0.0,0.8,0.8,9.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
녹차 카테킨,0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0
녹차카테킨,0,10.0,11.0,0.0,12.0,14.0,45.0,15.0,0.0,24.0,0.0,100.0,0.0,0.0,0.0,8.5,0.0,55.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,700.0
농협 6년근 고려 100년 홍삼정스틱 수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,5.25,0.0,0.0,0.0
